id,network,name,state,lat,lon,elevation_m,in_range,km_outside,n_seasons
FAF,VA_ASOS,FORT EUSTIS/FELKER,VA,37.1325,-76.6088,4.0,False,33.2,19
FKN,VA_ASOS,FRANKLIN/J B ROSE,VA,36.6981,-76.9038,12.0,True,0.0,24
FVX,VA_ASOS,FARMVILLE,VA,37.3575,-78.4378,125.0,False,89.1,22
FYJ,VA_ASOS,WEST_POINT,VA,37.5211,-76.7647,7.0,False,74.6,20
LFI,VA_ASOS,LANGLEY AFB/HAMPTON,VA,37.0828,-76.3605,3.0,False,38.4,25
NFE,VA_ASOS,Fentress,VA,36.695,-76.1356,5.0,False,14.1,23
NGU,VA_ASOS,NORFOLK NAS/CHAMBER,VA,36.9375,-76.2893,5.0,False,28.2,26
NTU,VA_ASOS,OCEANA NAS/SOUCEK,VA,36.8207,-76.0335,7.0,False,29.3,26
ORF,VA_ASOS,NORFOLK INTL ARPT,VA,36.9033,-76.1922,9.0,False,27.6,26
PHF,VA_ASOS,NEWPORT NEWS,VA,37.1319,-76.493,13.0,False,36.5,26
PTB,VA_ASOS,PETERSBURG (AWOS),VA,37.1838,-77.5074,59.0,False,54.9,25
PVG,VA_ASOS,Norfolk/Hampton Roads,VA,36.7801,-76.4488,7.0,False,6.1,19
RIC,VA_ASOS,RICHMOND/BYRD FIELD,VA,37.5115,-77.3234,54.0,False,86.8,26
SFQ,VA_ASOS,SUFFOLK,VA,36.6824,-76.6019,22.0,True,0.0,24
